Koodi;Nimike;Saldo;Yksikkö;Hälytysraja
922123;MUOVIKELMU 0.09x1500x3000 MM ;700;kg;100
922125;MUOVIKELMU 0,05*1250*5000 mm;25;kg;50
9600890;PE-KALVO VALKOINEN;123;kg;100
9600313;TEIPPI 51662 50x60 VAROITUSTEKSTIT JA SUUNTANUOLET;234;kpl;6
926404;TERÄSVANNE 16x0.5 MM  BCL MAALATTU ;400;kg;25
8107645;KULJETUSTUKI;5000;kpl;2000
957105;KULJETUSKIINNIKE;400;kpl;2000
901111;Lauta 19*100;500;m;2000
0;ruuvi 5*80;3000;kpl;2000
0;ruuvi 5*50;3500;kpl;2000
0;ruuvi 6,3*25;4;LTK;2000
0;ruuvi 6,3*40;3000;kpl;2000
0;Poraruuvi wurth 6*85;1;kpl;2000
0;Levyruuvi 6,3*19;1600;kpl;2000
0;Hakanen N-sarja 50x11 + 44mm Senco;9;ltk;2000
0;Senco 4,5*75;12;ltk;2000
0;Senco 4,2*45;14;ltk;2000
0;Hakanen R-140 10x10,7;1;ltk;2000
9602361;Varoitus sidonta-teippi;1;rul;2000
0;GLAS-varoitusteippi;6;rll;2000
S/926;VÄLIPUU 32*100;430;kpl;2000
0;L-lista PA-HU 2040mm;2210;kpl;2000
0;L-lista PA-HU 2220mm;940;kpl;2000
0;PAHVIKULMA 4 X 60 X 60 X 600 MM;1;kpl;2000
0;SUKSI (LYHYT);90;kpl;2000
0;SUKSI (PITKï¿½);60;kpl;50
0;PÄÄTY;46;kpl;50
957105;KULJETUSKIINNIKE;6000;kpl;50
901111;Lauta 19*100;400;m;50
;Pahvipalikka;234;;50
;Delipahvi;123;;50
S/925;VÄLIIPUU 19*100;270;kpl;50
0;ruuvi5*100;3000;kpl;50
9600313;TEIPPI 51662 50x60 VAROITUSTEKSTIT JA SUUNTANUOLET;240;kpl;50
0;ruuvi 5*50;3500;kpl;50
926206;KOLLITARRA;55000;kpl;50
;Pahvipakkaus;123;;50
0;L-lista PA-HU 2040mm;2210;kpl;50
926119;teippi (kirkas) 38 mm;234;kpl;50
9600890;PE-KALVO VALKOINEN;23;m;50
926206;KOLLITARRA;45;kpl;50
1,78E+13;ruuvi5*100;23;kpl;50
1,53E+13;ruuvi 5*35;23;kpl;50
45RH75MRB;Senco 4,5*75;23;ltk;50
9600312;Ketjunkuva-teippi;40;m;50
S/929;VÄLIPUU 47*100;23;kpl;50
S/926;VÄLIPUU 32*100;23;kpl;50
926522;L-lista PA-HU 2220mm;23;kpl;50
9600375;SUKSI (PITKÄ);23;kpl;50
9604202;ÄLÄ NOSTA TÄSTÄ-TEIPPI;23;m;50
922124;KÄSIKIRISTEKALVO 450X0,017MM       ;23;m;50
926119;PAKKAUSTEIPPI 38 MM 66 M POLYPROP. ;23;m;50
926146;PAKKAUSTEIPPI 19 MM KELT.;23;m;50
926129;PAKKAUSTEIPPI 50 MM KELT.;23;m;50
926327;S-PEHMUSTE 0,80MM 60CM X 700M;23;m;50
926507;MC-100 SIDONTAKALVO 20MY 150M (MINIWRAPPER);23;m;50
